id,question,A,B,C,D,correct_letter,correct_text,clean_exp,mode,model_name,model_id,answer_provider,answer_model_name,verifier_provider,verifier_model,verifier_model_name,predicted_letter,predicted_text,is_correct,retrieved_context,retrieved_ids,retrieved_scores,timestamp_utc,hallucination_label,hallucination_reason
45258d3d-b974-44dd-a161-c3fccbdadd88,Which of the following is not true for myelinated nerve fibers:,Impulse through myelinated fibers is slower than non-myelinated fibers,Membrane currents are generated at nodes of Ranvier,Saltatory conduction of impulses is seen,Local anesthesia is effective only when the nerve is not covered by myelin sheath,A,Impulse through myelinated fibers is slower than non-myelinated fibers,,rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Impulse through myelinated fibers is slower than non-myelinated fibers,True,"Oligodendrocytes are responsible for myelination in the CNS. In the PNS, Schwann cells form the myelin sheath. The process of myelination begins before bih and is not complete until a year or more after bih. (: Vishram Singh textbook of neuroanatomy, second edition, pg- 19)

According to erlanger and gasser classification, A fibers are myelinated and has large diameter The conduction velocity is 120m per second ::73

Motor neuron disease is at anterior horn cell, pyramidal neurons and not the nerves. Thus the conduction velocity in the nerves is normal. Leprosy - Affects nerves and both sensory nerve conduction /motor nerve conduction studies may demonstrate reduced amplitude in affected nerves but occasionally may reveal demyelinating features. Charcot-Marie-Tooth disease (CMT) -MC hereditary neuropathy and has reduced motor nerve conduction velocity A.I.D.P -Segmental demyelination in the spinal cord and peripheral nerves. Early features-prolonged F-wave latencies Prolonged distal latencies Reduced amplitudes of compound muscle action potentials, d/t involvements of nerve roots and distal motor nerve terminals",f17ffc1c-1ad4-438a-8724-0bb55b7195d7|5971a5c1-d823-4c72-8a34-47e674b38073|3e454fc7-1ed5-4de8-bb90-e980d5a63f1b,0.6014|0.6279|0.6436,2026-04-20T17:21:33.631228+00:00,,
b944ada9-d776-4c2a-9180-3ae5f393f72d,Which of the following is not true about glomerular capillaries'),The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,Glucose concentration in the capillaries is the same as that in glomerular filtrate,Constriction of afferent aeriole decreases the blood flow to the glomerulas,Hematocrit of the fluid leaving the capillaries is less than that of the fluid entering it,A,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,"The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it .;anong 23/e p653-6_)Glomerular oncotic pressure (due to plasma protein content) is higher than that of filtrate oncotic pressure in Bowman's capsule""Since glucose is freely filtered and the fluid in the Bowman's capsule is isotonic with plasma, the concentration of glucose in the filtrate is the same as in the capillaries",rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,True,"Capillaries are classified in toContinuous or non fenestrated capillaries - Endothelial cells are arranged without any gap in between them. Eg. Skin, BBB. Allows only very small molecules to pass through. Fenestrated capillaries - Gaps in between endothelial cells ranging from 70-100nm in diameter which are lined by basement membrane. Eg. Capillaries of intestinal villi, renal glomeruli, choroid plexus of the ventricles of the brain, ciliary process of eyes and endocrine glandsDiscontinuous type- Very wide cleft are present in between endothelial cells. The basement membrane is incomplete or absent. Almost all substance in plasma can cross this gap. Seen in liver sinusoids, sinusoids of spleen, anterior pituitary and parathyroid gland : Textbook of medical physiology by N Geetha, 2nd edition, page no. 194

Freely filterable substances by glomerulus - Water - Na+ - Cl- - HCO3- - Inulin - Glucose - Creatinine - Free Calcium or phosphate

Subendothelial immune complex deposits may create a circumferential thickening of the capillary wall, forming ""wire loop"" structures on light microscopy. This condition is seen in lupus nephritis. 50% of SLE patients have clinically significant renal involvement Currently there are six pattern of glomerular disease Where, Class 1(Minimal mesangial lupus nephritis) is least common and class 4(Diffuse lupus nephritis) is most common",ddbd5348-4545-4df3-85f7-b5456de5b261|47a7e08c-e3a3-46bf-8927-d9e194a385c1|9dd42e5f-7689-4b21-a5bd-0b56a54ea09e,0.5895|0.6184|0.6291,2026-04-20T17:21:39.566395+00:00,,
b64a9cd7-d076-4c55-8be1-f9c44fece6cc,A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is,No test is required now as her age is below 35 years,Ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,blood screening at this point of time will clear the exact picture,C,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,,rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,No test is required now as her age is below 35 years,False,"There is no absolute medical contraindication for female sterilization. Also remember, : FEMALE STERILIZATION MALE STERILIZATION - Married - Married - 22-49 yrs old female - 22-60 yrs old male - >= 1 child - >= 1 child - No past history in self/ spouse sterilization - No past history in self/ spouse sterilization - MINILAP - Done by trained MBBS/ MD Gyn-obs/ DGO - Conventional vasectomy - Trained MBBS & above - Laproscopic sterilization- MD Gyn-obg /DGO - MS surgery - No scalpel vasectomy - Trained MBBS & above

Increased anti Ro and La implies high risk of congenital hea block. Anti Ro antibody can be transmitted transplacentally and can lead to complete hea block leading to neonatal lupus. Steroids can be given in pregnancy as they fall in category A with no evidence of teratogenicity. But a placental enzyme 11 dehydrogenase deactivates glucocoicoids. Presence of anti-cardiolipin antibody and anti beta 2 glycoprotein antibody can lead to uterine aery or venous thrombosis leading to recurrent aboions. Most women can tolerate pregnancy without flare but it can worsen in some requiring aggressive treatment. All autoimmune diseases can worsen in pregnancy except rheumatoid ahritis.

MTP act 1971, provides safeguards to the mother by authorizing only a Registered Medical Practitioner having experience in gynecology and obstetrics to perform aboion where the length of Pregnancy does not exceed 12 weeks Where the pregnancy exceeds 12 weeks and is not more than 20 weeks, the opinion of two Registered Medical Practitioners is necessary to terminate the pregnancy : Park&;s textbook of preventive and social medicine, 23rd edition, Page no: 506",81cd9759-0f73-42e8-80b2-6fad72c0be57|8ab66c14-d112-42ad-8e9c-9ee1207dba4e|4cb20df6-6726-4827-921a-ce3be9fccf96,0.6962|0.7370|0.7401,2026-04-20T17:21:50.481368+00:00,FACTUAL_ERROR,"```json
{
 ""label"": """",
 ""reason"": ""The model's answer incorrectly states that no test is required because the woman's age is below 35. This is a factual error as her prior child with Down syndrome makes her a high-risk patient, necessitating diagnostic testing regardless of her age. The correct approach involves definitive chromosomal analysis, not dismissing the need for testing based on age alone in a high-risk scenario.""
}
```"
c6365cce-507c-40f6-90a2-46b867f47b6e,Axonal transport is:,Antegrade,Retrograde,Antegrade and retrograde,,C,Antegrade and retrograde,Fast anterograde (400 mm/day) transport occurs by kinesin molecular motor and retrograde transport (200 mm/day) occurs by dynein molecular motor.,rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,C,Antegrade and retrograde,True,"Ans. is 'c' i.e., Uses ATP molecule Active transporto As the name suggests active transport is active pumping of drug molecules through a membrane against concentration gradient by a molecular pump (carrier mediated), which requires energy to function.o So, active transport has following characteristics:Movement is against concentration gradientA molecular pump (carrier protein) is required.Energy' is requiredo On the basis of energy utilization, active transport is divided to:Primary- (Direct) active transporty Transporter (carrier protein) binds ATP directly and energy is obtained directly by the hydrolysis of ATP. These transporters (carrier protein) belong to the superfamily of ATP binding cassettee (ABC) transporters whose intracellular loops have ATPa.se activity.Examples are Na+K+ ATPase. H+-K+ ATPase, Ca+2 ATPaseSecondary (Indirect) active transportThe energy to pump one solute is derived from the downhill movement of another solute, i.e. In secondary active transport, molecules are moved through a membrane as a result of the diffusion of other substance.When both molecules move in the same direction it is called svmport (cotransport), e.g. Na+ -glucose transporter in the intestine. Na+ jodide transporter in thvroid-When molecules move in opposite directions, it is termed as antiport (exchange transport) e.g. Na+-Ca+2 exchanger in myocardium

: Ureterostomy

: Iris",a7c170cb-f607-4ed5-a8a0-c5ab803170f3|9b04ce12-b330-46ae-94e4-fa1de80c9ebd|475409da-9f13-46dc-add5-49945e4b8fbe,0.5628|0.6288|0.6288,2026-04-20T17:21:54.654036+00:00,,
72c1c5e0-b64f-4eef-bf22-ecfb60c5c19c,Low insulin to glucagon ratio is seen in all of these except:,Glycogen synthesis,Glycogen breakdown,Gluconeogenesis,Ketogenesis,A,Glycogen synthesis,"Glycogen synthesisLow insulin to glucagon ratio implies a catabolic state, i.e. usage of body stores to form energy, typically seen in fasting state ancl diabetes mellitus. Hence, this state will promote glycogen breakdown, gluconeogenesis as well as ketone body formation, while at the same time inhibiting glycogen synthesis and storage.",rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Glycogen synthesis,True,"A i.e. Increase in glucagons/ insulin ratio, increased C- AMP & increased blood sugar.In diabetes little glucose is oxidized as fuel, except by the brain. The rest of tissues burn a large amount of fat, paicularly the liver where the amount of acetyl COA formed from fatty acids exceeds the capacity of the tricarboxylic acid cycle to oxidize it. The excess acetyl COA is conveed to ketone bodies l/t ketonemia, ketonuria & ketoacidosisDiabetics not only have a defect in the tissue utilization of glucose but also appears to be metabolically poised to produce maximum amount of glucose from amino acids (gluconeogenesis) and to prevent glucose from being utilized to to form fat. (fat synthesis)Insulin is decreased & glucagons is increased 1/t Dglucagon/ insulin ratioQ. Glucagon acts elevation in C- AMPQ

(2/3 of plasma glucose):

Adrenalin and histamine and glucagon, insulin are physiological antagonists Physiological antagonism - opp effect on the same physiological system by two drugs glucagon increases blood glucose, insulin decreases- blood glucose adrenaline- bronchodilatation histamine- broncho constriction .",7ae4d04b-7e5e-4455-abcb-068b61031179|700dea0c-8593-43cb-b6a4-0c62bcc2cfc4|6e23d040-cb96-4698-9a86-e9e5501b8814,0.5540|0.5755|0.5770,2026-04-20T17:21:58.434857+00:00,,
17360c6c-2c98-4fe2-aa85-487dcf4678df,Concentration of tropicamide:,0.01,0.02,0.03,0.04,A,0.01,"0.01Tropicamide is the shoest acting mydriatic, concentration used is 0.5-l% drops (0.005-0.010).Tropicamide:Concentration used: 0.5-l% drops (0.005-0.010)Duration of action: Though effective for upto 3 hours, maximum effect appear 30 minutes after the last drop and lasts for only 10-15 minutesUsed in Adults.",rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,0.01,True,"Esters (aminoesters) :- Procaine, chlorprocaine, tetracaine (amethocaine), Benzocaine, Cocaine. Amides (aminoamides) Lignocaine, Mepivacaine, Prilocaine, Bupivacaine, Etidocaine, Ropivacaine , Dibucaine.

Ondansetron is drug of choice for chemotherapy induced vomiting Dexamethasone,lorazepam and aprepitant are also used for chemotharapy induced vomiting.(

Ans. is 'c' i.e., Spiramycin Classic congenital toxoplasmosis is characterized by the tetrad described by Sabin in 1942: chorioretinitis, hydrocephalus, intracranial calcification and convulsion.Signs such as intracranial calcification, microcephaly, hydrocephalus, and severe intrauterine growth restriction strongly suggest in utero infection in the presence of documented maternal infection. Maternal-fetal transmission occurs between 1 and 4 months following placental colonization by tachyzoites There are 2 goals of drug therapy for toxoplasmosis, depending on whether or not fetal infection has occurred. If maternal infection has occurred but the fetus is not infected, Spiramycin is used for fetal prophylaxis (to prevent spread of organisms across the placenta from mother to fetus). Spiramycin is a macrolide antibiotic that is concentrated in but does not readily cross the placenta, and therefore is not reliable for treatment of fetal infection. Use is aimed at preventing vertical transmission of the parasite to the fetus, and it is indicated only before fetal infection It is given at a dose of 1 g (3 million U) orally every 8 hours.lt will be prescribed for the duration of the pregnancy if the amniotic fluid polymerase chain reaction is reported negative for T. gondii. If fetal infection has been confirmed or is highly suspected, pyrimethamine and sulfadiazine are used for treatment. Pyrimethamine is a folic acid antagonist that acts synergistically with sulfonamides. This drug should not be used in the first trimester because it is potentially teratogenic. It produces a reversible, dose related depression of the bone marrow and therefore must be combined with folinic acid. The combination of pyrimethamine and sulfadiazine results in a significant decrease in disease severity.",f09dc144-1aba-47bd-a9a6-20229683218e|57b5b287-ca45-4e1b-be8f-a09a847fb97f|63d27494-2c11-4570-8d16-ec5141691843,0.6656|0.6916|0.6980,2026-04-20T17:22:04.824317+00:00,,
62fa6f78-1964-4249-974b-6fcbbd7fc9ba,Which of the following statements is true regarding H I N1 Influenza?,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,People on long-term steroids cannot receive Os-eltam ivir,Category B concerns with low risk cases,Category B patients have to undergo immediate testing,A,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B(. http..ilviww.molifir.nic.in/WriteReadData/1892s/ 804456402Categorisation.pcifi)Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B.Drug of choice - Oseltamivir (given for 10 days post-exposure). Priority groups (in order) for Influenza vaccinesPregnant womenHealthy young childrenAge >6 months with chronic medical conditionsHealthy adults 49-65 years15-49 years healthy young adultsHealthy adults > 65 years,rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,True,"Copper T

Endometrial Ca

Data Presentation",786b732a-ad84-4eed-a356-cf042326920e|5a21e550-4d1a-43ac-943f-0063e0345dfa|107b3190-6205-4818-87ef-b5bca3fc465a,0.4913|0.4913|0.4913,2026-04-20T17:22:06.375815+00:00,,
ce49098b-cc48-4168-859e-936e3e0c7459,Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.,Sphenopalatine aery,Anterior ethmoidal aery,Greater palatine aery,Septal branch of superior labial aery,B,Anterior ethmoidal aery,"Kiesselbach's plexus: Antero superior pa is supplied by ANTERIOR & POSTERIOR ETHMOIDAL AERIES which are branches of ophthalmic aery, branch of INTERNAL CAROTID AERY. Antero inferior pa is supplied by SUPERIOR LABIAL AERY - branch of facial aery, which is branch of EXTERNAL CAROTID AERY. Postero superior pa is supplied by SPHENO-PALATINE AERY - branch of MAXILLARY aery, which is branch of ECA. POSTERO INFERIOR pa is supplied by branches of GREATER PALATINE AERY - branch of ECA Antero inferior pa/vestibule of septum contain anastomosis b/w septal ramus of superior labial branch of facial aery & branches of sphenopalatine, greater palatine & anterior ethmoidal aeries. These form a large capillary network called KIESSELBACH'S PLEXUS If dryness persists, bleeding will occur Therefore, in given options, Anterior ethmoidal aery is a branch of ICA not ECA",rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Sphenopalatine aery,False,"Branches of external carotid aery Anterior Superior thyroid Lingual Facial Posterior Occipital Posterior auricular Medial Ascending pharyngeal Terminal Maxillary Superficial temporal

i.e. Internal carotid aery

The poserior cerebral aery (PCA) does not supply the pons The branches of the posterior cerebral aery are : Coical branches Occipital lobe- Visual coex Temporal lobe- medial and inferolateral surfaces Central branches Thalamus Subthalamus Lentiform nucleus Midbrain Pineal gland Superior and inferior colliculi Medial and lateral geniculate bodies Choroidal branches : Choroid plexus of Lateral ventricle Third ventricle : Snell's Clinical neuroanatomy 8th edition Pgno: 467",84048e94-d814-442a-808a-879d0445a416|cd6cf92c-53f8-4541-a610-c66470fa835d|b7a1e9ec-cfa6-451b-bb40-83af2b9e55c9,0.5148|0.5411|0.5412,2026-04-20T17:22:20.809356+00:00,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly identified the Sphenopalatine artery as not being a branch of the external carotid artery (ECA). According to the gold explanation, the Sphenopalatine artery is a branch of the Maxillary artery, which in turn is a branch of the ECA. Therefore, the model's chosen option is factually incorrect regarding its origin relative to the ECA, failing to answer the question 'not a branch of external carotid Aery'.""
}
```"
18d5c4a1-cb81-41a8-9bfc-b6f7dec431d2,Diagnosis of the following ECG-,Ventricular bigeminy,Electrical alternans,P pulmonale,Left ventricular failure,B,Electrical alternans,Option A- Broad QRS complex with normal sinus rhythm Digoxine toxicity Option B- P wave with fluctuating QRS complexes is seen. showing ELECTRICAL ALTERANS seen in large pericardial effusion in which hea is swinging. Option C- N Height in P wave: 2.5mm But in P-pulmonale: || by 1.5mm,rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,D,Left ventricular failure,False,"All of the above

All of the above

(D) All of the above",2f186270-7452-4e77-889d-c0a9bc89b0cc|32cc5f86-5af3-4630-b997-03fc8d4fbda4|9065f47e-5e37-4cda-a7aa-f12052c9a741,0.1537|0.1537|0.2127,2026-04-20T17:22:31.465296+00:00,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly identified 'Left ventricular failure' as the diagnosis for an ECG, when the correct diagnosis is 'Electrical alternans'. 'Electrical alternans' is a specific ECG pattern (fluctuating QRS complexes) indicative of conditions like large pericardial effusion. 'Left ventricular failure' is a clinical syndrome, not a direct ECG pattern in the same way. The model's choice is medically and factually incorrect in the context of ECG interpretation and is not semantically close to the correct answer.""
}
```"
de09d388-bd4e-42a9-ac6b-ee2d95f822e2,A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –,Ebstein's anomaly,Pulmonary atresia,Transposition of great arteries,Tetralogy of fallot,B,Pulmonary atresia,"The findings in this newborn are Cyanosis at birth Oligaemic lung .fields Normal sized heart Lets see each option one by one Ebstein anomaly - It can be easily ruled out as there is marked cardiomegaly in it. Transposition of great vessels- There is cardiomegaly and plethoric lung fields see in it. So ruled out. Now the real confusion - between PA and TOF. TOF - in TOF there is oligaemic lung fields and normal sized heart but usually cyanosis is not present at birth. Nelson states - ""Often cyanosis is not present at birth. but with increasing hypertrophy of the right ventricular infimdibulum and patient growth, cyanosis occurs later in the 1st year of life. But some cases may present with cyanosis at birth."" a Pulmonary atresia - The child is cyanotic at birth There is pulmonary oligaemia But the heart is of variable size (from small to enlarge)",rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Ebstein's anomaly,False,"(Methaemoglobinemia) Pronounced cyanosis together with chocolate brown colour of 'freshly drawn blood suggests a diagnosis of methaemoglobinemia Methaemoglobinemia Methaemoglobinemia is an uncommon but distinct cause of central cyanosis in the absence of hypoxemia or cardio vascular compromise Methaemoglobinemia occurs when a significant concentration of hemoglobin (Hb) is oxidized to methaemoglobin (Met Hb) When the haem moety (iron atoms) of' Hb molecule encounter a strong oxidizing agent iron loses an electron and switches from the Ferrous (2+) to Ferric (3+) state turning Hb to 'Met Hb' Methaemoglobin has such high oxygen affinity that viually no oxygen is delivered Presentation Methaemoglobinemia most commonly presents as cyanosis unresponsive to supplemental oxygen The most notable physical examination finding is generalized cyanosis which can manifest as muddy brown dark mucus membranes before proceding to global skin discolaration 'The charachteristic muddy appearance (chocolate brown) of freshly drawn blood can be a critical clue'- Blood appears dark brown, brownish, muddy or chocolate in colour immediately after withdrawal. In contrast to normal venous blood, the color does not change with addition of oxygen or agitation in the air'- Diffirential diagnosis in Internal Medicine Methaemoglobinemia > 15% cause symptoms of cerebral ischaemia Methaemoglobinemia > 60% is usually lethal Diagnosis The hest Methaemoglobinomia is Methaemoglohin Assay' Treatment The most effective emergency management for methaemaglobinemia is administration of Methylene bluee which serves as an antidote (intravenous) Methylene blue is not effective in patients with methaemoglobinemia due to Hemoglobinopathy MQ (Haemoglobin M) Methylene blue is contraindicated in patients with G6 PD deficiencyQ since it can cause severe hemolysis due to its potential for oxidation Outline of The Four Main Pathways to MetHb Production 1. Congenitally abnormal hemoglobin: Hemoglobin M Hemoglobin M is passed as an autosomal dominant trait affecting either the alpha or beta chain of hemoglobin; homozygous Hb M affecting both alpha and beta chains is incompatible with life. Amino acid substitution (often a tyrosine for histidine) near the heme iron facilitates iron oxidation. 2. Inherited enzyme deficiencies: NADH-dependent cytochrome b5 -reductase and cytochrome bc deficiency. Deficiency of either cytochrome b5 or its reducing enzyme, cytochrome b5-reductase, decreases reduction of MetHb back to Hb 3. Nitrite (NO2), other oxidants and oxygen-reducing compounds Nitrites are a common oxidizing source of MetHb production. Reducing agents paradoxically produce methemoglobinemia by reducing oxygen to a free radical or water to 1-1,O2, which then oxidizes hemoglobin. 4. ""Sensitive"" hemoglobin: Blue baby syndrome Bacteria in the immature gastrointestinal tracts of infants conve nitrate (NO3) to the powerful oxidant nitrite (NO,). Infants have a relative NADH-dependent reductase deficiency (only 50% of adult levels) and are more susceptible to oxidative injury.

Transposition of great vessels (TGA) is defined as aoa arising from the right ventricle and pulmonary aery from the left ventricle. In patients with TGA, the oxygenated pulmonary venous blood recirculates in the lungs whereas the systemic venous blood recirculates in the systemic circulation. The pulmonary aery saturation is thus always higher than the aoic saturation. Survival depends on the mixing available between the two circulations. Patients of complete TGA with intact ventricular septum are cyanotic at bih. Since the interatrial communication results in poor mixing, the neonates present with rapid breathing and congestive failure secondary to hypoxemia within the first week of life. Physical examination shows severe cyanosis, congestive failure, normal first sound, single second sound and an insignificant grade one to two ejection systolic murmur. The electrocardiogram shows right axis detion and right ventricular hyperophy. The thoracic roentgenogram shows cardiomegaly with a narrow base and plethoric lung fields. The cardiac silhouette can have an ""egg on side"" appearance: The right upper lung fields appear more plethoric than other areas. The thymic shadow is often absent. Patients of TGA with VSD have increased pulmonary blood flow; mixing at the ventricular level determines the severity of cyanosis. They develop congestive failure around 4-10 weeks of age. Physical findings consist of cyanosis, cardiomegaly, congestive failure, normal first sound, single or normally split second sound and grade II-IV ejection systolic murmur. Apical third sound gallop or a mid-diastolic rumble may be present. Electrocardiogram shows right axis detion with biventricular, right ventricular or left ventricular hyperophy. Chest X-ray shows cardiomegaly, plethoric lung fields and features of pulmonary venous hypeension. The aerial switch operation is now established as the treatment of choice for TGA, Prostaglandin El can help reduce cyanosis in selected cases by keeping the PDA open. Interim palliation can be accomplished through a balloon atrial septostomy. : Essential Paediatrics; O.P. Ghai; Page no: 425

Can be diagnosed intrauterineExplanationClinical features of ARPKD (Autosomal recessive polycystic kidney disease) are:Classic ARPKD is generally diagnosed in utero or within the neonatal period and characterized by greatly enlarged echogenic kidneys in diseased fetuses. (Option a)Reduced fetal urine production may contribute to oligohydramnios and pulmonary hypoplasia.About 30% of affected neonates die shortly after birth due to respiratory insufficiency. Close to 60% of mortality occurs within the first month of life.In the classic group, most patients are bom with renal insufficiency and ESRD (End stage renal disease). (Option b)However, infants often have a transient improvement in their GFR; death from renal insufficiency at this stage is rare.Some patients are diagnosed after the neonatal stage and form the older group. Morbidity and mortality in this group often involve systemic hypertension, progressive renal insufficiency, and liver manifestations.The hallmarks of ARPKD liver disease are biliary dysgenesis due to a primary ductal plate malformation with associated periportal fibrosis, namely congenital hepatic fibrosis (CHF) and dilatation of intrahepatic bile ducts (Caroli's disease). CHF and Caroli's disease can then lead to portal hypertension exhibiting hepatosplenomegaly, variceal bleeding, and cholangitis.Some patients with the diagnosis of ARPKD at 1 year of age with nephromegaly exhibit slowly declining renal function over 20 years with only minimally enlarged kidneys at ESRD (Option c and e) and markedly atrophic kidneys following renal transplantation.The slow progression of renal disease is likely due to increasing fibrosis rather than the development of cysts.Systemic hypertension is common in all ARPKD patients, even those with normal renal function. (option d)",f5213ada-efac-491a-90e1-2d3d09e0e588|160f1ef7-451b-4362-bd71-97c72fcc8140|a2cc3df8-77f3-4290-a580-d66398b9439d,0.5209|0.5560|0.6028,2026-04-20T17:22:57.897061+00:00,FACTUAL_ERROR,"```json
{
 ""label"": """",
 ""reason"": ""The model chose Ebstein's anomaly, which is characterized by marked cardiomegaly. However, the question explicitly states the X-ray reveals a 'normal sized heart'. This choice demonstrates a factual misunderstanding of the typical radiological presentation of Ebstein's anomaly, making it medically incorrect for the given patient findings.""
}
```"
