id,question,A,B,C,D,correct_letter,correct_text,clean_exp,mode,model_name,model_id,answer_provider,answer_model_name,verifier_provider,verifier_model,verifier_model_name,predicted_letter,predicted_text,is_correct,retrieved_context,retrieved_ids,retrieved_scores,hallucination_label,hallucination_reason,timestamp_utc
45258d3d-b974-44dd-a161-c3fccbdadd88,Which of the following is not true for myelinated nerve fibers:,Impulse through myelinated fibers is slower than non-myelinated fibers,Membrane currents are generated at nodes of Ranvier,Saltatory conduction of impulses is seen,Local anesthesia is effective only when the nerve is not covered by myelin sheath,A,Impulse through myelinated fibers is slower than non-myelinated fibers,,no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Impulse through myelinated fibers is slower than non-myelinated fibers,True,,,,,,2026-04-16T15:08:50.951675+00:00
b944ada9-d776-4c2a-9180-3ae5f393f72d,Which of the following is not true about glomerular capillaries'),The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,Glucose concentration in the capillaries is the same as that in glomerular filtrate,Constriction of afferent aeriole decreases the blood flow to the glomerulas,Hematocrit of the fluid leaving the capillaries is less than that of the fluid entering it,A,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,"The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it .;anong 23/e p653-6_)Glomerular oncotic pressure (due to plasma protein content) is higher than that of filtrate oncotic pressure in Bowman's capsule""Since glucose is freely filtered and the fluid in the Bowman's capsule is isotonic with plasma, the concentration of glucose in the filtrate is the same as in the capillaries",no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,True,,,,,,2026-04-16T15:08:53.454234+00:00
b64a9cd7-d076-4c55-8be1-f9c44fece6cc,A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is,No test is required now as her age is below 35 years,Ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,blood screening at this point of time will clear the exact picture,C,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,,no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,C,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,True,,,,,,2026-04-16T15:08:56.562332+00:00
c6365cce-507c-40f6-90a2-46b867f47b6e,Axonal transport is:,Antegrade,Retrograde,Antegrade and retrograde,,C,Antegrade and retrograde,Fast anterograde (400 mm/day) transport occurs by kinesin molecular motor and retrograde transport (200 mm/day) occurs by dynein molecular motor.,no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Antegrade,False,,,,REASONING_FAILURE,"```json
{
  ""label"": """",
  ""reason"": ""The model correctly identified 'Antegrade' as a type of axonal transport, which is semantically close to the correct answer 'Antegrade and retrograde'. However, it failed to infer or distinguish that axonal transport encompasses both antegrade and retrograde movement, thus providing an incomplete answer rather than a factually incorrect one.""
}
```",2026-04-16T15:08:57.769451+00:00
72c1c5e0-b64f-4eef-bf22-ecfb60c5c19c,Low insulin to glucagon ratio is seen in all of these except:,Glycogen synthesis,Glycogen breakdown,Gluconeogenesis,Ketogenesis,A,Glycogen synthesis,"Glycogen synthesisLow insulin to glucagon ratio implies a catabolic state, i.e. usage of body stores to form energy, typically seen in fasting state ancl diabetes mellitus. Hence, this state will promote glycogen breakdown, gluconeogenesis as well as ketone body formation, while at the same time inhibiting glycogen synthesis and storage.",no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Glycogen synthesis,True,,,,,,2026-04-16T15:08:58.970834+00:00
17360c6c-2c98-4fe2-aa85-487dcf4678df,Concentration of tropicamide:,0.01,0.02,0.03,0.04,A,0.01,"0.01Tropicamide is the shoest acting mydriatic, concentration used is 0.5-l% drops (0.005-0.010).Tropicamide:Concentration used: 0.5-l% drops (0.005-0.010)Duration of action: Though effective for upto 3 hours, maximum effect appear 30 minutes after the last drop and lasts for only 10-15 minutesUsed in Adults.",no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,0.01,True,,,,,,2026-04-16T15:09:00.225604+00:00
62fa6f78-1964-4249-974b-6fcbbd7fc9ba,Which of the following statements is true regarding H I N1 Influenza?,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,People on long-term steroids cannot receive Os-eltam ivir,Category B concerns with low risk cases,Category B patients have to undergo immediate testing,A,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B(. http..ilviww.molifir.nic.in/WriteReadData/1892s/ 804456402Categorisation.pcifi)Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B.Drug of choice - Oseltamivir (given for 10 days post-exposure). Priority groups (in order) for Influenza vaccinesPregnant womenHealthy young childrenAge >6 months with chronic medical conditionsHealthy adults 49-65 years15-49 years healthy young adultsHealthy adults > 65 years,no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,True,,,,,,2026-04-16T15:09:01.956498+00:00
ce49098b-cc48-4168-859e-936e3e0c7459,Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.,Sphenopalatine aery,Anterior ethmoidal aery,Greater palatine aery,Septal branch of superior labial aery,B,Anterior ethmoidal aery,"Kiesselbach's plexus: Antero superior pa is supplied by ANTERIOR & POSTERIOR ETHMOIDAL AERIES which are branches of ophthalmic aery, branch of INTERNAL CAROTID AERY. Antero inferior pa is supplied by SUPERIOR LABIAL AERY - branch of facial aery, which is branch of EXTERNAL CAROTID AERY. Postero superior pa is supplied by SPHENO-PALATINE AERY - branch of MAXILLARY aery, which is branch of ECA. POSTERO INFERIOR pa is supplied by branches of GREATER PALATINE AERY - branch of ECA Antero inferior pa/vestibule of septum contain anastomosis b/w septal ramus of superior labial branch of facial aery & branches of sphenopalatine, greater palatine & anterior ethmoidal aeries. These form a large capillary network called KIESSELBACH'S PLEXUS If dryness persists, bleeding will occur Therefore, in given options, Anterior ethmoidal aery is a branch of ICA not ECA",no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Sphenopalatine aery,False,,,,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly identified the Sphenopalatine artery as not being a branch of the external carotid artery. The Sphenopalatine artery is a branch of the maxillary artery, which is a terminal branch of the external carotid artery. This is a direct factual inaccuracy regarding arterial anatomy.""
}
```",2026-04-16T15:09:03.697851+00:00
18d5c4a1-cb81-41a8-9bfc-b6f7dec431d2,Diagnosis of the following ECG-,Ventricular bigeminy,Electrical alternans,P pulmonale,Left ventricular failure,B,Electrical alternans,Option A- Broad QRS complex with normal sinus rhythm Digoxine toxicity Option B- P wave with fluctuating QRS complexes is seen. showing ELECTRICAL ALTERANS seen in large pericardial effusion in which hea is swinging. Option C- N Height in P wave: 2.5mm But in P-pulmonale: || by 1.5mm,no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,A,Ventricular bigeminy,False,,,,FACTUAL_ERROR,"```json
{
  ""label"": """",
  ""reason"": ""The model incorrectly identified the ECG pattern. Ventricular bigeminy (Model answer) and Electrical alternans (Correct answer) are distinct ECG findings with different characteristics (rhythm vs. QRS amplitude variation) and etiologies. The model's choice is a fundamental misidentification of the ECG finding, not a subtle distinction or incorrect inference between semantically close options.""
}
```",2026-04-16T15:09:04.950369+00:00
de09d388-bd4e-42a9-ac6b-ee2d95f822e2,A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –,Ebstein's anomaly,Pulmonary atresia,Transposition of great arteries,Tetralogy of fallot,B,Pulmonary atresia,"The findings in this newborn are Cyanosis at birth Oligaemic lung .fields Normal sized heart Lets see each option one by one Ebstein anomaly - It can be easily ruled out as there is marked cardiomegaly in it. Transposition of great vessels- There is cardiomegaly and plethoric lung fields see in it. So ruled out. Now the real confusion - between PA and TOF. TOF - in TOF there is oligaemic lung fields and normal sized heart but usually cyanosis is not present at birth. Nelson states - ""Often cyanosis is not present at birth. but with increasing hypertrophy of the right ventricular infimdibulum and patient growth, cyanosis occurs later in the 1st year of life. But some cases may present with cyanosis at birth."" a Pulmonary atresia - The child is cyanotic at birth There is pulmonary oligaemia But the heart is of variable size (from small to enlarge)",no_rag,ollama,llama3:latest,ollama,llama3:latest,gemini,gemini-2.5-flash,gemini-2.5-flash,D,Tetralogy of fallot,False,,,,REASONING_FAILURE,"```json
{
  ""label"": """",
  ""reason"": ""The model chose Tetralogy of Fallot (TOF), which shares features like oligaemic lung fields and a normal-sized heart with Pulmonary Atresia (PA). However, the question specifies 'A blue new born presents with cyanosis,' indicating cyanosis at birth. While some cases of TOF can present with cyanosis at birth, it is typically a later onset condition. Pulmonary Atresia, on the other hand, is characterized by cyanosis at birth. The model failed to make the correct inference and distinction based on the timing of cyanosis and the 'most likely diagnosis' prompt, thus selecting a less probable option over the more fitting one.""
}
```",2026-04-16T15:09:06.810417+00:00
